sequence,method,run,ate_rmse_m,role_valid,adaptive_flags,finite_trajectory,blind_m,blind_evidence,rows,duration_s,max_gap_s,normal_frames,transient_frames,persistent_frames,zero_effective_frames,quality_rejected_sum,final_z_m,identical_csv_to,source,source_sha256,evaluation,protocol
geode_tunnel3,ours_no_adaptive,run01,9.624905,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,2506,252.0001256465912,0.6574304103851318,2506,0,0,8,0,-6.924052281,,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_no_adaptive/run01/runtime.csv,8ffc6a0670ba3e6398bf85c6be11c0dd65afb2ed75d0c43d4301bf192cb9096f,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel3,ours_adaptive,run01,4.756198,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2505,252.00026321411133,1.5998127460479736,2314,191,0,0,22371,0.004302357,,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_adaptive/run01/runtime.csv,9cd4ab3250ad8b46270f7482f9135acd7ed8a3f2a68c64c8a21d1e7c9c29c4d1,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel3,fastlio2_blind2,run01,0.278646,True,NA,True,2,directory/history or user confirmation; no runtime config snapshot,2537,253.599693775177,0.10291242599487305,0,0,0,0,0,-0.022355627,,experiments/adaptive_map_v1/validation/geode_tunnel3/fastlio2_blind2/run01/runtime.csv,5197b3bba89325d235c5dba6062fc8146e6761cd24ffca7bc0d334417b4b79c3,experiments/adaptive_map_v1/validation/geode_tunnel3/fastlio2_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel3,ours_no_adaptive_blind2,run01,0.146799,True,0,True,2,directory/history or user confirmation; no runtime config snapshot,2521,252.00026321411133,0.10291242599487305,2521,0,0,0,0,0.008143117,,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_no_adaptive_blind2/run01/runtime.csv,aaf4ebef634c65d7a7d8044f4669c285f428d920e2d51bf3ae62620193f927de,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_no_adaptive_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel3,ours_adaptive_blind2,run02,0.150348,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2504,252.00026321411133,1.7994763851165771,2423,81,0,0,21945,0.012133542,,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_adaptive_blind2/run02/runtime.csv,a21cff5e801d25ed69abd65267ffb717cffe9868fdeb75327d50165a88cb48d0,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_adaptive_blind2/run02/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel4,fastlio2,run01,0.133886,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,2236,223.50035548210144,0.10486292839050293,0,0,0,0,0,-0.005020376,,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2/run01/runtime.csv,3074bd81858c82615f106eff2d3b90fe3407d0ff9f7fd0749cf7d278b4690813,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel4,ours_no_adaptive,run01,0.129225,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,2218,221.6997094154358,0.10486292839050293,2218,0,0,0,0,-0.032749714,,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_no_adaptive/run01/runtime.csv,edf48cd56b8b6b7eab95e5b0c4495da6ec2b36c0b35325288855b785c9811301,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel4,ours_adaptive,run01,0.1269,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2218,221.6997094154358,0.10289812088012695,2118,100,0,0,26324,-0.056191142,,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_adaptive/run01/runtime.csv,dd78dd2656094bfb34e00744de613780879430719eccd17bcbc680fa76ffa66e,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel4,fastlio2_blind2,run01,0.130606,True,NA,True,2,directory/history or user confirmation; no runtime config snapshot,2236,223.50035548210144,0.10289788246154785,0,0,0,0,0,0.040557555,,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2_blind2/run01/runtime.csv,849128307df135cdc5ffb8253c873cadf095b235f3e41ed74629b12074967c4e,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel4,ours_no_adaptive_blind2,run01,0.134015,True,0,True,2,directory/history or user confirmation; no runtime config snapshot,2218,221.6997094154358,0.10289812088012695,2218,0,0,0,0,-0.005397146,,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_no_adaptive_blind2/run01/runtime.csv,f0420afb6dda3095a50974a9d8352fcd00e9c9e40e558145a337069d9770e33d,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_no_adaptive_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel4,ours_adaptive_blind2,run02,0.131181,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2218,221.6997094154358,0.10289812088012695,2028,190,0,0,27944,-0.082159912,,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_adaptive_blind2/run02/runtime.csv,2cfee89c3adb20b4fd8da5d544e0be01fe346cddfeb8efe5aecc75adf45ad4d2,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_adaptive_blind2/run02/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel5,fastlio2,run01,9.110966,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,2295,231.50134921073914,0.9928956031799316,0,0,0,0,0,4.209991435,,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2/run01/runtime.csv,bd14efe983b3deefe4b9681b83f0aac0924809e1b711d27407120d18869f21d7,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel5,ours_no_adaptive,run01,6.931448,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,2290,229.80000686645508,0.41713905334472656,2290,0,0,21,0,4.079056934,,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive/run01/runtime.csv,05340b7e730fe091a3257efee8a01801b30d3c566880bdcb83e150fd182227a0,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel5,ours_adaptive,run01,0.866253,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2299,229.80000686645508,0.10528683662414551,2187,112,0,0,20346,-0.010886193,,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive/run01/runtime.csv,09ec705a7ab5a6480100306da7e835b300489b148b2f0c7e4dc04c1d35e4c919,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel5,fastlio2_blind2,run01,1.396598,True,NA,True,2,directory/history or user confirmation; no runtime config snapshot,2316,231.50060081481934,0.10528683662414551,0,0,0,0,0,0.063040208,,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run01/runtime.csv,ce18abbe8c35e893bd75ef0ed812d55d763056a0e2cd02905821355282ee741d,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel5,ours_no_adaptive_blind2,run01,1.852172,True,0,True,2,directory/history or user confirmation; no runtime config snapshot,2299,229.80000686645508,0.10528683662414551,2299,0,0,0,0,0.090833611,,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run01/runtime.csv,13c7a1bbac2ff09333202f69ce4c7da32587e5fb4de15897f5e29d831c1f7109,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel5,ours_adaptive_blind2,run02,0.447549,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2299,229.80000686645508,0.10528683662414551,2187,112,0,0,20740,0.006407494,,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run02/runtime.csv,72328323591f43623145cc4118d531648b222f0b19d863b2b471da58aa360cb8,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run02/evaluation_v1,GEODE original local conversion + rmse.py
geode_waterway_short,fastlio2,run01,0.240711,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,4750,474.90037846565247,0.1213676929473877,0,0,0,0,0,2.64442086,,experiments/adaptive_map_v1/validation/geode_waterway_short/fastlio2/run01/runtime.csv,aa8d61a6387084115870c4352dd34cf052b117a68b17f0cfbc597f142553e60b,experiments/adaptive_map_v1/validation/geode_waterway_short/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_waterway_short,ours_no_adaptive,run01,0.248172,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,4733,473.20114398002625,0.1213676929473877,4733,0,0,0,0,15.926910273,,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_no_adaptive/run01/runtime.csv,569c5a51417992557f7ca57799b2409141d2e23f1c10862fdc5ed31d524fa592,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_waterway_short,ours_adaptive,run01,0.36701,True,1,True,4,directory/history or user confirmation; no runtime config snapshot,4733,473.20114398002625,0.1213676929473877,2674,2059,0,0,92530,2.017282523,,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_adaptive/run01/runtime.csv,01b5966e100167f1de7de602002f2e04afce87fc9ec2a83f73c10b25876df85c,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_waterway_medium,fastlio2,run01,0.745051,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,8376,837.5009822845459,0.12134075164794922,0,0,0,0,0,0.573967891,,experiments/adaptive_map_v1/validation/geode_waterway_medium/fastlio2/run01/runtime.csv,60120e4aa5f5e0fa8c2af3167afe4195f87aa06c0dad9765dae25f9f169d8a92,experiments/adaptive_map_v1/validation/geode_waterway_medium/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_waterway_medium,ours_no_adaptive,run01,0.739867,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,8360,835.9047102928162,0.12134075164794922,8360,0,0,0,0,-1.451177615,,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_no_adaptive/run01/runtime.csv,e5802caacd9b6e5af7af29c386ff82534a4c93324bb7230bb6188feca17e6582,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_waterway_medium,ours_adaptive,run01,0.840257,True,1,True,4,directory/history or user confirmation; no runtime config snapshot,8359,835.9047102928162,0.19734716415405273,4810,3549,0,0,223153,-0.615022213,,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_adaptive/run01/runtime.csv,69f1a63c8cc772fe5f1eb0d60e2ff280edbdb38affccc0d4f78be663747a55c2,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
ntu_spms1,fastlio2,run01,2.162181471085823,True,NA,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3906,417.6905107498169,0.4031493663787842,0,0,0,0,0,0.160996009,,experiments/adaptive_map_v1/validation/ntu_spms1/fastlio2/run01/runtime.csv,40746a21db721845bba890074a9ef45c36d2a321767e37d71f8ece23b55b8482,experiments/adaptive_map_v1/validation/ntu_spms1/fastlio2/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
ntu_spms1,ours_no_adaptive,run01,5.610317185732062,True,0,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3617,417.5926938056946,0.7002205848693848,3617,0,0,0,0,-9.964774924,,experiments/adaptive_map_v1/validation/ntu_spms1/ours_no_adaptive/run01/runtime.csv,fdde7713e7e7cc74c4b616e430a5cc6f0f6501b45369d900fe698948a1d6712b,experiments/adaptive_map_v1/validation/ntu_spms1/ours_no_adaptive/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
ntu_spms1,ours_adaptive,run01,0.26719442955382067,True,1,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3933,417.5926938056946,0.3007032871246338,3681,252,0,0,384957,0.154850771,,experiments/adaptive_map_v1/validation/ntu_spms1/ours_adaptive/run01/runtime.csv,a9d1d360f8375b0980c43a59e9142123e4eb423dd6067ee77a1e6f448bbf9ee2,experiments/adaptive_map_v1/validation/ntu_spms1/ours_adaptive/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
ntu_spms2,fastlio2,run01,2.421477512558007,True,NA,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3403,364.78965282440186,0.5227625370025635,0,0,0,0,0,2.066408994,,experiments/adaptive_map_v1/validation/ntu_spms2/fastlio2/run01/runtime.csv,0a1b319aa40949cd585d9a53de6282cf2ebdc5af1644731027babfe499f30ba2,experiments/adaptive_map_v1/validation/ntu_spms2/fastlio2/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
ntu_spms2,ours_no_adaptive,run01,4.142780921501424,True,0,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3523,364.59120202064514,0.30025482177734375,3523,0,0,0,0,1.190725512,,experiments/adaptive_map_v1/validation/ntu_spms2/ours_no_adaptive/run01/runtime.csv,32505f6c9335fe22b3fbd55b15212eeae10b046e7e6e0fe079a6d1a1188e2255,experiments/adaptive_map_v1/validation/ntu_spms2/ours_no_adaptive/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
ntu_spms2,ours_adaptive,run01,4.828395130653645,True,1,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3494,364.59120202064514,0.30005693435668945,2964,530,0,0,397138,0.730378505,,experiments/adaptive_map_v1/validation/ntu_spms2/ours_adaptive/run01/runtime.csv,b0c762a393cad582e792b7b034d1d3bc1d79d5bcd2b3a0e9178d72a08015aaa4,experiments/adaptive_map_v1/validation/ntu_spms2/ours_adaptive/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
ntu_spms3,fastlio2,run01,1.5438630277265104,True,NA,True,dataset_config,directory/history or user confirmation; no runtime config snapshot,3541,381.29174733161926,0.5237057209014893,0,0,0,0,0,-0.589308624,,experiments/adaptive_map_v1/validation/ntu_spms3/fastlio2/run01/runtime.csv,ba9018a1fb88cdfaebd3498992f6b828dbee39f89cf3c635e9a111fb0dcbe5f5,experiments/adaptive_map_v1/validation/ntu_spms3/fastlio2/run01/evaluation_v1,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution
