run,relative_s,error_m
max/run01,6.88370118141172,1.0640248644969332
max/run01,6.983701181411718,1.0637346926097793
max/run01,7.083701181411719,1.0642810556340716
max/run01,7.183701181411717,1.0652633533051432
max/run01,7.283701181411718,1.0646037883884922
max/run01,7.383701181411716,1.0658042204464644
max/run01,7.483701181411718,1.0669059656157256
max/run01,7.5837011814117155,1.0661336742235819
max/run01,7.983701181411714,1.067457431957696
max/run01,8.083701181411715,1.0680163671526461
max/run01,8.183701181411713,1.068826058407957
max/run01,8.283701181411715,1.0687216715294572
max/run01,8.383701181411713,1.0686880486988635
max/run01,8.483701181411714,1.0680442859311743
max/run01,8.783701181411711,1.0668000050127024
max/run01,8.883701181411713,1.0674884914742102
max/run01,8.98370118141171,1.0675394461987397
max/run01,9.083701181411712,1.0672394022270149
max/run01,9.18370118141171,1.067058925471964
max/run01,9.283701181411711,1.0676648506554354
max/run01,9.383701181411709,1.0682341747845348
max/run01,9.48370118141171,1.0683584185557928
max/run01,9.583701181411708,1.0673336425532254
max/run01,9.68370118141171,1.0676218719292168
max/run01,9.783701181411708,1.0687642124752885
max/run01,9.883701181411709,1.0694099895656908
max/run01,9.983701181411707,1.0692925935961282
max/run01,10.083701181411708,1.0688862578725535
max/run01,10.183701181411706,1.0685208747610375
max/run01,10.283701181411708,1.067862761883697
max/run01,10.383701181411706,1.0677340797947052
max/run01,10.483701181411707,1.0675789093828394
max/run01,10.583701181411705,1.0684839472134693
max/run01,10.683701181411706,1.068628186152459
max/run01,10.783701181411704,1.0682836153650517
max/run01,10.883701181411706,1.0686337794710075
max/run01,10.983701181411703,1.0690614035434987
max/run01,11.083701181411705,1.0709259050508924
max/run01,11.183701181411703,1.0712553676387817
max/run01,11.283701181411704,1.070795524124849
max/run01,11.383701181411702,1.0708268411579311
max/run01,11.483701181411703,1.07101753712565
max/run01,11.583701181411701,1.0708485685042113
max/run01,11.683701181411703,1.071169890845603
max/run01,11.7837011814117,1.0705187992871132
max/run01,11.883701181411702,1.069997848192738
max/run01,11.9837011814117,1.0698334993772156
max/run01,12.083701181411701,1.0689989161768874
max/run01,12.183701181411699,1.0695006805954284
max/run01,12.2837011814117,1.070198096848275
max/run01,12.583701181411698,1.0695862703452779
max/run01,12.683701181411699,1.0696990900424332
max/run01,12.783701181411697,1.070098602788894
max/run01,12.883701181411698,1.0701536026372114
max/run01,12.983701181411696,1.0697438824673229
max/run01,13.083701181411698,1.0699768801434804
max/run01,13.183701181411696,1.0694459350523904
max/run01,13.283701181411697,1.068800346039124
max/run01,13.383701181411695,1.0698950034478336
max/run01,13.783701181411693,1.0721230838701854
max/run01,13.883701181411695,1.0728964731820416
max/run01,14.183701181411692,1.0722165236086783
max/run01,14.283701181411693,1.0720523316710242
max/run01,14.383701181411691,1.0715817122635507
max/run01,14.483701181411693,1.0719150661752936
max/run01,14.58370118141169,1.0726464867072583
max/run01,15.08370118141169,1.0708472275733214
max/run01,15.183701181411688,1.0710168015560446
max/run01,15.28370118141169,1.071357110994483
max/run01,15.383701181411688,1.0710529689811141
max/run01,15.48370118141169,1.0713620322529118
max/run01,15.583701181411687,1.0723212017792598
max/run01,15.683701181411688,1.0709339243781109
max/run01,15.783701181411686,1.0707137448788038
max/run01,15.883701181411688,1.0709666132671551
max/run01,15.983701181411686,1.0717558777684182
max/run01,16.383701181411684,1.072621055019354
max/run01,16.483701181411686,1.0716298759157095
max/run01,16.583701181411687,1.0718809085899708
max/run01,16.683701181411685,1.0714747954407844
max/run01,16.783701181411683,1.071218194107617
max/run01,17.18370118141168,1.072273361415191
max/run01,17.283701181411683,1.072333103098925
max/run01,17.383701181411684,1.0719439431925255
max/run01,17.483701181411682,1.0721473938993693
max/run01,17.58370118141168,1.0720589654572534
max/run01,17.68370118141168,1.0719911698838864
max/run01,17.783701181411683,1.0716744928553126
max/run01,17.88370118141168,1.072071841899327
max/run01,17.98370118141168,1.0725435241098216
max/run01,18.08370118141168,1.07247656642135
max/run01,19.083701181411676,1.071156482471774
max/run01,19.383701181411677,1.0731016579769737
max/run01,19.483701181411675,1.0725513997258327
max/run01,19.583701181411673,1.0724257901586758
max/run01,19.683701181411674,1.0716141319794674
max/run01,19.783701181411676,1.0718661302882484
max/run01,19.883701181411674,1.0722413133742692
max/run01,19.98370118141167,1.0718188382767733
max/run01,20.083701181411673,1.071189288601825
max/run01,20.283701181411672,1.073634525081109
max/run01,20.38370118141167,1.0749775599095621
max/run01,20.48370118141167,1.074190862054114
max/run01,20.583701181411673,1.0734182199192253
max/run01,20.68370118141167,1.0725375735487246
max/run01,20.78370118141167,1.0734244298999382
max/run01,20.88370118141167,1.0732624119635477
max/run01,20.98370118141167,1.0731249999707837
max/run01,21.08370118141167,1.073532977646526
max/run01,21.183701181411667,1.073651532020475
max/run01,21.28370118141167,1.072963646828493
max/run01,21.38370118141167,1.0725475825696194
max/run01,21.483701181411668,1.0723987879257326
max/run01,21.583701181411666,1.0724783778208955
max/run01,21.683701181411667,1.071879581644781
max/run01,21.983701181411664,1.07360640910215
max/run01,22.083701181411666,1.074762347767855
max/run01,22.183701181411667,1.07548694200707
max/run01,22.283701181411665,1.0742987705377591
max/run01,22.383701181411663,1.0744217118620623
max/run01,22.483701181411664,1.0739043811148041
max/run01,22.583701181411666,1.073161610324471
max/run01,22.683701181411664,1.0748050331791057
max/run01,22.78370118141166,1.0752959902886796
max/run01,22.883701181411663,1.075750697399285
max/run01,22.983701181411664,1.0749457749126696
max/run01,23.083701181411662,1.0747622375784867
max/run01,23.18370118141166,1.0749082588038197
max/run01,23.28370118141166,1.076270296235765
max/run01,23.383701181411663,1.0766803534804634
max/run01,23.48370118141166,1.076834887146793
max/run01,23.58370118141166,1.0758275383467273
max/run01,23.983701181411657,1.0759425462680117
max/run01,24.08370118141166,1.0748545282170636
max/run01,24.383701181411656,1.0753723160521707
max/run01,24.483701181411657,1.0738949028942826
max/run01,24.58370118141166,1.074168049450735
max/run01,24.683701181411656,1.072341922983985
max/run01,24.783701181411654,1.0716075424850977
max/run01,24.883701181411656,1.0734330015195306
max/run01,24.983701181411657,1.0758535767038149
max/run01,25.083701181411655,1.0772098142096613
max/run01,25.183701181411653,1.0791317253411337
max/run01,25.283701181411654,1.0738482632187853
max/run01,25.383701181411656,1.0736007145351614
max/run01,25.483701181411654,1.0747260285150402
max/run01,25.58370118141165,1.0754880344294981
max/run01,25.683701181411653,1.0763730191063343
max/run01,25.783701181411654,1.0804976006651346
max/run01,25.883701181411652,1.0872713008883645
max/run01,25.98370118141165,1.0895367987671118
max/run01,26.28370118141165,1.0721352658979875
max/run01,26.38370118141165,1.0651333628345865
max/run01,26.48370118141165,1.0623377217147016
max/run01,26.58370118141165,1.060191322827395
max/run01,26.68370118141165,1.0632579397090338
max/run01,26.783701181411647,1.0739983770945492
max/run01,26.883701181411645,1.0732371587700247
max/run01,26.983701181411647,1.0796414837149295
max/run01,27.083701181411648,1.08922866185617
max/run01,27.183701181411642,1.1010983996005501
max/run01,27.483701181411647,1.1556715790114893
max/run01,27.58370118141164,1.1810218222941338
max/run01,27.683701181411642,1.2226753871448064
max/run01,27.783701181411644,1.2398405878331074
max/run01,27.883701181411645,1.2246252691221757
max/run01,27.98370118141164,1.2008083658814932
max/run01,28.08370118141164,1.188667824885545
max/run01,28.183701181411642,1.2021418801303854
max/run01,28.283701181411644,1.2271868478221772
max/run01,28.383701181411638,1.2480644055777883
max/run01,28.48370118141164,1.2567662168709501
max/run01,28.58370118141164,1.2633439713949681
max/run01,28.683701181411642,1.2664063215432992
max/run01,28.783701181411637,1.265806729171914
max/run01,28.883701181411638,1.2433741554124302
max/run01,28.98370118141164,1.273286522895163
max/run01,29.08370118141164,1.253830681857834
max/run01,29.183701181411635,1.2611715557589187
max/run01,29.283701181411637,1.2638670060746304
max/run01,29.383701181411638,1.2669842614370714
max/run01,29.48370118141164,1.2796623507406886
max/run01,29.783701181411637,1.276613856524086
max/run01,29.883701181411638,1.27749681861957
max/run01,29.983701181411632,1.291973423444215
max/run01,30.083701181411634,1.3308720493222892
max/run01,30.183701181411635,1.3154491007765754
max/run01,30.583701181411634,1.3309496947744213
