group,run,start_s,end_s,rows,residual_median,effective_min,transient_fraction,map_added,rejection_fraction,novel_rejected
control,run03,0,30,269,0.011871255,1335,0.02973977695167286,54753.0,0.37800472576907346,3096
control,run03,30,60,279,0.070870284,1624,0.02867383512544803,225159.0,0.2666284497050671,752
control,run03,60,90,279,0.061153819,1913,0.0035842293906810036,148847.0,0.22680498054636405,0
control,run03,90,120,292,0.054343105,1505,0.023972602739726026,148388.0,0.2512916767578913,170
control,run03,120,150,294,0.057871276,1102,0.023809523809523808,134639.0,0.24131654870847044,499
control,run03,150,180,285,0.056799463,886,0.031578947368421054,76958.0,0.2856135009189982,347
control,run03,180,210,282,0.071212786,780,0.11347517730496454,103700.0,0.40655366197021897,1517
control,run03,210,240,294,0.09683004049999999,419,0.3435374149659864,84892.0,0.687882141425877,9402
control,run03,240,270,294,0.07878502,314,0.24829931972789115,56696.0,0.6757430697344566,9596
control,run03,270,300,293,0.074949561,160,0.14675767918088736,48301.0,0.48047799337434927,5328
control,run03,300,330,298,0.173831705,198,0.5234899328859061,51669.0,0.6916976944006874,6703
control,run03,330,360,283,0.077736929,468,0.1166077738515901,123000.0,0.3174023552393531,535
control,run03,360,390,189,0.048158362,672,0.005291005291005291,23378.0,0.20953508030431106,0
control_off,run01,0,30,299,0.011758343,1388,0.020066889632107024,64999.0,0.3323301010765059,0
control_off,run01,30,60,281,0.070195261,1431,0.017793594306049824,228849.0,0.2414306312876013,0
control_off,run01,60,90,277,0.062767935,1775,0.0036101083032490976,146701.0,0.2266847298949943,0
control_off,run01,90,120,282,0.053048387,1511,0.024822695035460994,143313.0,0.24648250189282409,0
control_off,run01,120,150,280,0.060113388000000004,1277,0.014285714285714285,133755.0,0.23229024370645024,0
control_off,run01,150,180,278,0.055815734500000005,948,0.02877697841726619,79425.0,0.26945364238410596,0
control_off,run01,180,210,295,0.073694736,807,0.11864406779661017,109886.0,0.4022769675969996,0
control_off,run01,210,240,281,0.097455335,555,0.3487544483985765,89212.0,0.6743647864857664,0
control_off,run01,240,270,270,0.073324012,387,0.24814814814814815,61066.0,0.6596230916296466,0
control_off,run01,270,300,290,0.06606110600000001,167,0.14482758620689656,50316.0,0.45334245950262375,0
control_off,run01,300,330,282,0.092162847,237,0.18439716312056736,54385.0,0.4755544840887175,0
control_off,run01,330,360,267,0.078157295,436,0.13857677902621723,115031.0,0.3327629510612011,0
control_off,run01,360,390,198,0.050216220500000006,655,0.0,24812.0,0.1669632365284539,0
control_off,run02,0,30,291,0.011778889,1383,0.020618556701030927,63100.0,0.33200652114077617,0
control_off,run02,30,60,282,0.0702576855,1491,0.028368794326241134,225164.0,0.25782995919389823,0
control_off,run02,60,90,291,0.062057,1795,0.003436426116838488,151530.0,0.22550076923470092,0
control_off,run02,90,120,284,0.0546771285,1534,0.02112676056338028,143488.0,0.24592317758286342,0
control_off,run02,120,150,287,0.060688414,1200,0.024390243902439025,133014.0,0.2538160766076327,0
control_off,run02,150,180,290,0.0577000025,853,0.03103448275862069,81424.0,0.2827532746668076,0
control_off,run02,180,210,289,0.074397368,787,0.11418685121107267,108446.0,0.39456906465984076,0
control_off,run02,210,240,288,0.09634124050000001,593,0.3333333333333333,96608.0,0.6523641597697013,0
control_off,run02,240,270,292,0.1620345965,338,0.565068493150685,71764.0,0.7923393222467541,0
control_off,run02,270,300,274,0.068499346,206,0.40145985401459855,50993.0,0.6474171489417605,0
control_off,run02,300,330,263,0.139318057,253,0.41064638783269963,61131.0,0.5866734279918864,0
control_off,run02,330,360,271,0.088992626,454,0.18450184501845018,183175.0,0.3366205038316119,0
control_off,run02,360,390,191,0.048601801,683,0.005235602094240838,29953.0,0.19420531582911868,0
control_off,run03,0,30,294,0.011816340500000001,1577,0.023809523809523808,62871.0,0.3465775634496664,0
control_off,run03,30,60,275,0.068692049,1482,0.02181818181818182,225472.0,0.24141481090210512,0
control_off,run03,60,90,279,0.063306499,1809,0.0035842293906810036,147863.0,0.2306095263864462,0
control_off,run03,90,120,283,0.051989141,1540,0.024734982332155476,143066.0,0.25350767801889895,0
control_off,run03,120,150,267,0.060432763,1355,0.018726591760299626,128610.0,0.23273336873064832,0
control_off,run03,150,180,290,0.055415008,1028,0.017241379310344827,83258.0,0.23123516865033564,0
control_off,run03,180,210,291,0.07345373,829,0.10309278350515463,109146.0,0.3818717258955118,0
control_off,run03,210,240,293,0.095828126,579,0.3310580204778157,91461.0,0.6666946058030802,0
control_off,run03,240,270,282,0.0720545295,373,0.2624113475177305,60280.0,0.6645893612285778,0
control_off,run03,270,300,281,0.066206768,189,0.13523131672597866,49354.0,0.43906985202191257,0
control_off,run03,300,330,290,0.1231759635,223,0.4482758620689655,51081.0,0.6644617567461047,0
control_off,run03,330,360,283,0.078976584,455,0.12367491166077739,121042.0,0.3183036719981978,0
control_off,run03,360,390,191,0.047043862,708,0.005235602094240838,23268.0,0.1930359991676493,0
