run,start_s,rows,gt_common_samples,error_median,residual_median,transient_frames,effective_min,novel_accepted,invalid_rejected,added,speed_max,angular_speed_max,csv_gap_max
run02,345,8,8,5.888765072233591,0.266154338,8,855,400,15032,1371,1.7663109554021577,0.058268567009265866,0.20007061958312988
run02,346,10,10,5.76317630770761,0.23722474999999998,10,934,500,19213,2061,1.4898451290346142,0.06910860784940237,0.10015153884887695
run02,347,8,7,5.872237894850893,0.22337629850000001,8,1054,400,15656,1675,1.1390228985089133,0.05276200495885197,0.1999211311340332
run02,348,6,6,6.184614018582225,0.29385463700000003,6,551,300,11777,881,2.8170679065970656,1.2489993295738064,0.3995664119720459
run02,349,9,9,4.567592413140165,0.276033389,9,351,450,16083,1175,2.5209773017317283,1.3029299832387669,0.20052266120910645
run02,350,8,7,4.299823433361179,0.25983741650000003,8,424,400,9356,910,1.545252388652667,1.3424687670104904,0.20009517669677734
run02,351,9,8,4.391948359344008,0.236220721,9,300,450,12114,1262,1.0779710404190244,1.380794578720747,0.20007538795471191
run02,352,9,9,4.820064483736277,0.264077933,9,284,450,9644,983,1.7771622743563702,1.4320114787467386,0.19971990585327148
run02,353,8,7,5.299300272439593,0.2608081625,8,285,400,8487,930,1.1817032722136092,0.03846387025140037,0.2007749080657959
run02,354,8,6,5.610885286655366,0.21116202950000001,8,486,400,9299,1377,0.9369623044385423,0.07932297158905317,0.3000781536102295
run02,355,8,4,5.837471151250096,0.2191785355,8,631,400,10313,1413,1.0131559841957427,0.03666239180971236,0.20012235641479492
run02,356,8,0,,0.24942021749999999,8,644,400,10819,1178,2.8260525691787812,0.09363375073372343,0.30021023750305176
run02,357,8,0,,0.2290715445,8,714,400,11449,1422,1.0682259285501319,0.047217877503438165,0.10004949569702148
run02,358,8,0,,0.2392440115,8,687,400,13048,1617,1.381637376345725,0.397613483618577,0.4001443386077881
run02,359,8,0,,0.254195183,8,520,400,13212,1533,2.03689329904536,1.2213132843226937,0.20043087005615234
run02,360,7,0,,0.304060863,7,472,350,12727,796,3.6579049890704045,1.2181794311713903,0.3002774715423584
run02,361,10,0,,0.26943753699999995,10,437,500,17199,1360,8.345199987328135,2.2888575715357566,0.10006308555603027
run02,362,8,0,,0.247331299,8,608,400,14688,1330,2.6105585035095937,0.0683098085954237,0.20044326782226562
run02,363,7,0,,0.240500007,7,972,350,12624,1544,2.8548994888291044,0.12726793514684015,0.200059175491333
run02,364,7,0,,0.208526925,7,1045,350,12889,1534,1.8831933569970658,0.1867521791101707,0.29981565475463867
run02,365,9,0,,0.212472408,9,1167,450,15735,2060,1.6462208284435838,0.31523418036159656,0.2000434398651123
run02,366,7,0,,0.223173546,7,1014,350,12778,1414,1.8289963289330389,0.5026936959640069,0.2007431983947754
run02,367,9,0,,0.206887579,9,1217,450,15897,2056,1.8611433829115311,0.3315401255012279,0.20000123977661133
run02,368,8,0,,0.23536202150000002,8,1171,400,14334,1662,1.9828442478560344,0.5035241769917504,0.20017290115356445
run02,369,8,0,,0.2416971535,8,736,400,15083,1480,1.5251951864071682,0.48469533763803474,0.29970669746398926
run02,370,6,0,,0.289730515,6,675,300,11275,801,6.15369076371453,0.609987689138765,0.300234317779541
run02,371,8,0,,0.277680342,8,586,400,13679,1036,7.38953983432132,0.7818417529038233,0.10005378723144531
run02,372,10,0,,0.266351527,10,628,500,16886,1360,4.39343243790548,0.4590144945575656,0.3004119396209717
run02,373,7,0,,0.279185441,7,649,350,12664,905,7.684689622003325,0.9833615661710606,0.30004310607910156
run02,374,5,0,,0.261618708,5,616,250,8874,671,5.078232511158933,0.5107450473464314,0.4999814033508301
run02,375,8,0,,0.2226712315,8,648,400,13147,1294,3.7069914672979944,0.24616459690203327,0.2001347541809082
run02,376,9,0,,0.2105394,9,673,450,14937,1643,1.5453811137125482,0.09629333797308341,0.3000187873840332
run02,377,8,0,,0.1904544405,8,963,400,12734,1622,0.8183479850683336,0.05679776749221255,0.20002245903015137
run02,378,7,2,17.53254689788845,0.174907513,7,1045,350,11240,1461,0.7030955962422792,0.0707960760918805,0.299854040145874
run02,379,8,8,17.40935059308323,0.1653464205,8,1195,400,12650,1797,0.7613388162603826,0.02604615430822531,0.3000209331512451
run02,380,9,5,17.42712803846595,0.073553475,0,1355,0,0,15996,0.894808533164172,0.03735013527235095,0.1999962329864502
run02,381,9,8,17.34788729848193,0.07977653,4,1748,200,5045,9401,2.9438063690012806,0.40257052665717097,0.1999809741973877
run02,382,7,6,17.435911008401533,0.171102793,7,2002,301,7320,2709,0.8204670034788313,0.15609014952732708,0.20018482208251953
run02,383,7,5,17.44682225279911,0.179564213,7,1875,304,8965,2432,2.4986835615440377,0.15212745141105843,0.40009164810180664
run02,384,6,5,17.578140055428044,0.183408536,6,1949,173,7605,2078,1.4586299348940206,0.023715780487464047,0.19991564750671387
run02,385,9,5,17.698876999919968,0.185798828,9,1684,306,12308,2855,1.083649221844963,0.23764942845015638,0.39992523193359375
run02,386,6,6,17.77749347880438,0.16586262200000002,6,1753,157,7615,1993,1.6677790919052478,0.1513636004361044,0.3000495433807373
run02,387,8,7,17.838270763400317,0.111829121,0,1705,0,0,10289,1.0107419909850146,0.08068057075135764,0.20013761520385742
run02,388,7,7,17.937302217684465,0.107673546,1,1527,40,1150,6751,2.7859739191613264,0.15423182570784386,0.499772310256958
run02,389,6,4,17.906604623311,0.0807271165,0,1351,0,0,5031,1.2342217215307767,0.1478717865888509,0.3997523784637451
run02,390,8,7,17.84374255516552,0.09182457150000001,1,732,10,789,4824,1.716434826378204,0.44110149829477885,0.19996929168701172
run02,391,9,7,17.91875804568633,0.115362411,1,721,50,748,5533,0.8725816692440248,0.10655267892491513,0.2001957893371582
run02,392,8,6,17.894024003832335,0.07461675649999999,0,861,0,0,3292,0.3305168437974619,0.025935218808891672,0.20003128051757812
run02,393,9,8,17.87528591084814,0.070097738,0,860,0,0,3344,0.33060645455756843,0.018897348942685126,0.10011172294616699
run02,394,9,9,17.864385834317897,0.063949235,0,876,0,0,2383,0.17528226144120604,0.007724341163766155,0.29993462562561035
run02,395,8,7,17.858217172482803,0.05721929,0,952,0,0,1415,0.08609952429036886,0.006510160045240712,0.19997024536132812
run02,396,9,7,17.860364003164374,0.055300294,0,952,0,0,1266,0.07726318988760929,0.0054149420515472585,0.1999645233154297
run02,397,8,6,17.859515273493514,0.0534596515,0,954,0,0,865,0.07250782240746768,0.0028917895629355073,0.2000718116760254
run02,398,9,8,17.866518998596774,0.05093736,0,935,0,0,899,0.0797698674970595,0.002656363507895788,0.19994068145751953
run02,399,9,8,17.868435583880345,0.048584996,0,935,0,0,830,0.08135865499471785,0.0033193352567865734,0.20011234283447266
