run,start_s,frames,common_gt_samples,prefix_error_median,residual_median,transient_frames,novel_accepted,novel_rejected,map_added,invalid_quality_rejected,map_size_last
control_off/run02,280,94,33,2.5623956148832057,0.057750574,26,317,0,15485,14193,442793
control_off/run02,290,84,12,2.810174820157143,0.2542881025,84,4529,0,8284,46285,449360
control_off/run02,300,82,0,,0.183267029,63,1086,0,10788,25358,456110
control_off/run02,310,89,59,2.555726475563498,0.131829102,33,1297,0,19193,22210,466964
control_off/run02,320,92,71,2.6184162478453348,0.10161726700000001,12,362,0,31150,5934,483459
control_off/run02,330,91,64,2.7967804868870925,0.109083508,24,1109,0,32565,15084,500362
control_off/run02,340,90,58,2.5786269275524987,0.1183163495,26,1103,0,81547,32080,541848
control_off/run02,350,90,8,2.5482267421272313,0.0628157225,0,0,0,69063,0,565340
control_off/run02,360,93,0,,0.054649214,1,15,0,24564,1189,571890
control_off/run02,370,88,56,2.5644192772772314,0.0458534255,0,0,0,4925,0,572948
control_off/run02,380,10,2,2.5653333814810626,0.044631552000000005,0,0,0,464,0,573036
control_off/run03,0,100,88,0.10913248347534282,0.0121709135,0,0,0,18727,0,6134
control_off/run03,10,97,75,0.10163686174371346,0.011232955,0,0,0,6507,0,7230
control_off/run03,20,97,72,0.09978892948475895,0.013894148,7,1549,0,37637,5914,27624
control_off/run03,30,98,80,0.1330650013073441,0.0657107545,0,0,0,108118,0,83660
control_off/run03,40,85,63,0.11164029322444599,0.068859078,2,332,0,57850,2004,108566
control_off/run03,50,92,64,0.11734298910737324,0.0709228465,4,259,0,59504,3744,132710
control_off/run03,60,95,66,0.10387419104995957,0.064678891,0,0,0,52002,0,154293
control_off/run03,70,92,68,0.12370506367482391,0.063408114,1,28,0,52540,971,173698
control_off/run03,80,92,66,0.1429778352975638,0.060637069,0,0,0,43321,0,187570
control_off/run03,90,95,70,0.1428209949873603,0.056322073,7,402,0,49264,12886,203648
control_off/run03,100,98,0,,0.047854283,0,0,0,46648,0,218167
control_off/run03,110,90,0,,0.053921365,0,0,0,47154,0,233874
control_off/run03,120,79,0,,0.06805816,2,37,0,39991,1477,248984
control_off/run03,130,95,0,,0.061158784,0,0,0,41504,0,263752
control_off/run03,140,93,0,,0.057548544,3,469,0,47115,3661,280345
control_off/run03,150,99,0,,0.058151519,0,0,0,25750,0,286201
control_off/run03,160,95,0,,0.051109542,0,0,0,16995,0,289518
control_off/run03,170,96,0,,0.0583657415,5,513,0,40513,7542,304647
control_off/run03,180,96,0,,0.081135581,15,888,0,38932,17913,318346
control_off/run03,190,99,0,,0.072845076,9,1238,0,36727,8837,332017
control_off/run03,200,96,47,0.21782382461800087,0.07171934899999999,6,97,0,33487,6084,343772
control_off/run03,210,99,76,0.24843146812044387,0.101830619,31,3565,0,37408,49836,360073
control_off/run03,220,94,71,0.38357265812972674,0.0947411,33,2948,0,27521,44477,371449
control_off/run03,230,100,80,0.4124160918600317,0.07916382,33,1365,0,26532,34217,383118
control_off/run03,240,94,60,0.4455616958025309,0.130526619,46,4171,0,20837,53132,393484
control_off/run03,250,94,12,0.39171721801369763,0.080655754,28,2916,0,23704,32114,403201
control_off/run03,260,94,0,,0.0586691555,0,0,0,15739,0,407473
control_off/run03,270,91,0,,0.061423958,3,14,0,14738,2141,411456
control_off/run03,280,95,33,0.23363493781587114,0.060760238,0,0,0,15604,0,415898
control_off/run03,290,95,12,0.49334645475774797,0.109351209,35,3235,0,19012,21644,426121
control_off/run03,300,93,0,,0.233712403,93,3132,0,7090,47250,431393
control_off/run03,310,98,59,0.49486878291566877,0.10574227850000001,26,690,0,17253,15838,439524
control_off/run03,320,99,71,0.421629253270278,0.090667643,11,354,0,26738,5319,451276
control_off/run03,330,97,64,0.4453045276570798,0.094602759,18,708,0,30123,9940,464259
control_off/run03,340,93,58,0.1423651998869898,0.09370978,17,538,0,50944,18039,484472
control_off/run03,350,93,8,0.18051666137539044,0.05387011,0,0,0,39975,0,495194
control_off/run03,360,90,0,,0.0507580055,1,14,0,17950,1133,499727
control_off/run03,370,90,56,0.024252309972694723,0.0453528495,0,0,0,4924,0,500801
control_off/run03,380,11,2,0.022392351924200284,0.043641091,0,0,0,394,0,500899
